absoluto 	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
ciencia 	feminine noun	science	no sentence available	no sentence available
circunstancia 	feminine noun	circumstance	no sentence available	no sentence available
comida 	feminine noun	food	no sentence available	no sentence available
compañía 	feminine noun	company 	en compañía de su madre	accompanied by his mother
comunicación 	feminine noun	communication	no sentence available	no sentence available
conciencia 	feminine noun	conscience	no sentence available	no sentence available
confianza 	feminine noun	trust 	de poca confianza	untrustworthy
consecuencia 	feminine noun	consequence, result 	a consecuencia de	as a result of
construcción 	feminine noun	construction, building	no sentence available	no sentence available
conversación 	feminine noun	conversation	no sentence available	no sentence available
costumbre 	feminine noun	custom	no sentence available	no sentence available
cultura 	feminine noun	culture	no sentence available	no sentence available
decisión 	feminine noun	decision, choice 	tomar una decisión	to make a decision
defensa 	feminine noun	defense 	salió en nuestra defensa	he came to our defense
dificultad 	feminine noun	difficulty	no sentence available	no sentence available
dirección 	feminine noun	address 	dirección particular/electrónica	home/e-mail address
distancia 	feminine noun	distance 	la distancia entre la Tierra y el Sol	the distance between the Earth and the Sun
educación 	feminine noun	education 	educación primaria/secundaria/superior	primary/secondary/higher education
elección 	feminine noun	choice, selection	no sentence available	no sentence available
empresa 	feminine noun	company, corporation, firm	no sentence available	no sentence available
energía 	feminine noun	energy	no sentence available	no sentence available
enfermedad 	feminine noun	illness, sickness 	por enfermedad	due to illness
entrada 	feminine noun	entrance, entry 	prohibida la entrada	do not enter
escuela 	feminine noun	school 	escuela privada/pública	private/public school
esperanza 	feminine noun	hope, expectation 	dar esperanzas	to give hope
esposa 	feminine noun	ex-wife	no sentence available	no sentence available
etapa 	feminine noun	stage, phase	no sentence available	no sentence available
existencia 	feminine noun	existence	no sentence available	no sentence available
explicación 	feminine noun	explanation	no sentence available	no sentence available
expresión 	feminine noun	expression	no sentence available	no sentence available
fecha 	feminine noun	date 	hasta la fecha	to date
fiesta 	feminine noun	party, fiesta 	fiesta de cumpleaños	birthday party
flor 	feminine noun	flower	con los nervios a flor de piel	with one's nerves on edge
formación 	feminine noun	formation	formación profesional	vocational training
frase 	feminine noun	phrase	no sentence available	no sentence available
fuente 	feminine noun	spring	fuentes informativas	sources of information
función 	feminine noun	function	el presidente en funciones	the acting president
generación 	feminine noun	generation 	tercera generación	third generation
hoja 	feminine noun	leaf, petal, blade (of grass)	hoja de cálculo	spreadsheet
impresión 	feminine noun	print, printing	causar una buena/mala impresión	to make a good/bad impression
información 	feminine noun	information 	centro/oficina de información	information center/office
intención 	feminine noun	intention, plan 	tenías buenas intenciones	you had good intentions, your intentions were good
investigación 	feminine noun	investigation, inquiry	investigación y desarrollo	research and development
izquierda 	feminine noun	left	no sentence available	no sentence available
labor 	feminine noun	work, labor	no sentence available	no sentence available
lectura 	feminine noun	reading	no sentence available	no sentence available
lengua 	feminine noun	tongue 	se me traba la lengua	I have trouble speaking, I get tongue-tied
letra 	feminine noun	letter 	letra mayúscula/minúscula	capital/lowercase letter
lucha 	feminine noun	struggle, fight	no sentence available	no sentence available
madera 	feminine noun	wood 	de madera	made of wood, wooden
máquina 	feminine noun	machine 	máquina de afeitar	electric razor
marcha 	feminine noun	march 	cerrar la marcha	to bring up the rear
masa 	feminine noun	mass, volume 	masa atómica	atomic mass
materia 	feminine noun	matter 	materia gris	gray matter
mayoría 	feminine noun	majority 	la mayoría de	most of, the majority of
memoria 	feminine noun	memory 	de memoria	by heart
mente 	feminine noun	mind 	tener en mente	to have in mind
mitad 	feminine noun	half 	mitad y mitad	half and half
música 	feminine noun	music	no sentence available	no sentence available
naturaleza 	feminine noun	nature 	la madre naturaleza	mother nature
nota 	feminine noun	note, message 	tomar notas	to take notes
noticia 	feminine noun	news item, piece of news 	noticia bomba	shocking news, bombshell
operación 	feminine noun	operation	no sentence available	no sentence available
opinión 	feminine noun	opinion, belief	no sentence available	no sentence available
oportunidad 	feminine noun	opportunity, chance	no sentence available	no sentence available
pared 	feminine noun	wall 	las paredes oyen	the walls have ears
pareja 	feminine noun	couple, pair 	por parejas	in pairs
paz 	feminine noun	peace	no sentence available	no sentence available
película 	feminine noun	movie, film 	dar/poner una película	to show a movie
pena 	feminine noun	sentence, penalty 	pena de muerte, pena capital	death penalty
piedra 	feminine noun	stone	no sentence available	no sentence available
piel 	feminine noun	skin	piel de venado	deerskin
pieza 	feminine noun	piece, part, component 	vestido de dos piezas	two-piece dress
planta 	feminine noun	plant 	planta de interior	houseplant
población 	feminine noun	population 	población activa	working population
política 	feminine noun	politics	política interior/exterior	domestic/foreign policy
posición 	feminine noun	position, place 	en posición vertical	in an upright position
práctica 	feminine noun	practice, experience	la práctica de la medicina	the practice of medicine
preocupación 	feminine noun	worry, concern	no sentence available	no sentence available
presencia 	feminine noun	presence 	en presencia de	in the presence of
presión 	feminine noun	pressure	no sentence available	no sentence available
propiedad 	feminine noun	property 	propiedad privada	private property
prueba 	feminine noun	proof, (piece of) evidence 	como prueba de	as proof of
responsabilidad 	feminine noun	responsibility 	tener la responsabilidad de	to be responsible for
reunión 	feminine noun	meeting	no sentence available	no sentence available
revista 	feminine noun	magazine, journal	no sentence available	no sentence available
revolución 	feminine noun	revolution	no sentence available	no sentence available
sala 	feminine noun	living room	sala de conferencias	lecture hall
salida 	feminine noun	exit 	salida de emergencia/incendios	emergency/fire exit
salud 	feminine noun	health 	buena salud	good health
sangre 	feminine noun	blood	no sentence available	no sentence available
seguridad 	feminine noun	safety (against accidents, etc.), security (against attacks, etc.) 	seguridad ciudadana	public safety
serie 	feminine noun	series	no sentence available	no sentence available
solución 	feminine noun	solution (in a liquid)	no sentence available	no sentence available
suerte 	feminine noun	luck, fortune 	tener suerte	to be lucky
tarea 	feminine noun	task, job	no sentence available	no sentence available
teoría 	feminine noun	theory	no sentence available	no sentence available
tradición 	feminine noun	tradition	no sentence available	no sentence available
vía 	feminine noun	road, route, way 	vía pública	public thoroughfare
visión 	feminine noun	vision, eyesight	ver visiones	to be seeing things
visita 	feminine noun	visit, call 	hacer una visita	to pay a visit
voluntad 	feminine noun	will, volition 	por propia voluntad	of one's own free will
vuelta 	feminine noun	turn 	se dio la vuelta	he turned around
alma 	feminine noun	soul	no sentence available	no sentence available
arma 	feminine noun	weapon 	arma nuclear	nuclear weapon
acto 	masculine noun	act, deed	no sentence available	no sentence available
alumno 	noun	pupil, student 	ex-alumno, ex-alumna	alumnus, alumna
ambiente 	masculine noun	atmosphere	no sentence available	no sentence available
andar 	intransitive verb	to walk	el auto anda bien	the car runs well
apoyo 	masculine noun	support, backing	no sentence available	no sentence available
árbol 	masculine noun	tree	no sentence available	no sentence available
arte 	masculine or feminine noun	art 	artes y oficios	arts and crafts
artículo 	masculine noun	article, thing	no sentence available	no sentence available
asunto 	masculine noun	affair, matter, subject	no sentence available	no sentence available
banco 	masculine noun	bank 	banco central	central bank
bien 	adverb	well 	¿dormiste bien?	did you sleep well?
brazo 	masculine noun	arm 	tomar del brazo	to take by the arm
caballo 	masculine noun	horse	no sentence available	no sentence available
calor 	masculine noun	heat 	hace calor	it's hot outside
carácter 	masculine noun	character, kind, nature	no sentence available	no sentence available
cargo 	masculine noun	burden, load	estar a cargo de	to be in charge of
cielo 	masculine noun	sky	no sentence available	no sentence available
compañero 	noun	companion, mate, partner 	compañero de clase	classmate
concepto 	masculine noun	concept, idea, opinion	no sentence available	no sentence available
conjunto 	masculine noun	collection, group	en conjunto	as a whole, altogether
contacto 	masculine noun	contact	no sentence available	no sentence available
control 	masculine noun	control 	control remoto	remote control
corazón 	masculine noun	heart 	de todo corazón	wholeheartedly
cuadro 	masculine noun	square 	una blusa a cuadros	a checkered blouse
cuarto 	adjective & noun	fourth 	la cuarta (persona)	the fourth (person)
cuidado 	masculine noun	care 	cuidado personal	self-care
curso 	masculine noun	course, direction	no sentence available	no sentence available
dato 	masculine noun	fact, piece of information	no sentence available	no sentence available
derecho 	adverb	straight 	todo derecho	straight ahead
desarrollo 	masculine noun	development 	países en vías de desarrollo	developing countries
deseo 	masculine noun	wish, desire	no sentence available	no sentence available
destino 	masculine noun	destiny, fate	no sentence available	no sentence available
detalle 	masculine noun	detail 	entrar en detalles	to go into detail
diario 	adjective	daily, everyday 	la vida diaria	everyday life
dolor 	masculine noun	pain, ache 	dolor de cabeza/muelas/espalda	headache/toothache/backache
edificio 	masculine noun	building, edifice	no sentence available	no sentence available
elemento 	masculine noun	element	no sentence available	no sentence available
encuentro 	masculine noun	meeting, encounter	no sentence available	no sentence available
equipo 	masculine noun	team, crew	no sentence available	no sentence available
error 	masculine noun	error, mistake 	cometer un error	to make a mistake
espíritu 	masculine noun	spirit	no sentence available	no sentence available
estilo 	masculine noun	style 	estilo de vida	lifestyle
éxito 	masculine noun	success, hit	no sentence available	no sentence available
fenómeno 	masculine noun	phenomenon	no sentence available	no sentence available
golpe 	masculine noun	blow 	caerle/cogerle a golpes a alguien	to give someone a beating
grado 	masculine noun	degree (in meteorology and mathematics) 	grado centígrado	degree centigrade
gusto 	masculine noun	flavor, taste 	tiene gusto a chocolate	it tastes like chocolate
hermano 	noun	sibling, brother 	hermano mayor/menor	big/little brother
hogar 	masculine noun	home 	labores del hogar	housework
instrumento 	masculine noun	(musical) instrument	no sentence available	no sentence available
juicio 	masculine noun	good judgment, reason, sense 	perder el juicio	to lose one's mind
lenguaje 	masculine noun	language, speech	no sentence available	no sentence available
límite 	masculine noun	boundary, border	el límite de mi paciencia	the limit of my patience
mercado 	masculine noun	market	no sentence available	no sentence available
metro 	masculine noun	meter	no sentence available	no sentence available
miembro 	masculine noun	member	no sentence available	no sentence available
motivo 	masculine noun	motive 	el motivo del crimen	the motive for the crime
negocio 	masculine noun	business, place of business 	el mundo de los negocios	the business world
norte 	adjective	north, northern	no sentence available	no sentence available
origen 	masculine noun	origin	no sentence available	no sentence available
oro 	masculine noun	gold	no sentence available	no sentence available
pasado 	adjective	past 	el año pasado	last year
peligro 	masculine noun	danger, peril 	estar en peligro	to be in danger
pensamiento 	masculine noun	thought	no sentence available	no sentence available
periódico 	adjective	periodic	no sentence available	no sentence available
perro 	noun	dog, bitch 	no sentence available	no sentence available
personaje 	masculine noun	character (in drama or literature)	no sentence available	no sentence available
piso 	masculine noun	floor, story	no sentence available	no sentence available
plan 	masculine noun	plan, strategy, program 	plan de inversiones	investment plan
precio 	masculine noun	price 	¿qué precio tiene?	how much is it?
presidente 	noun	president	no sentence available	no sentence available
producto 	masculine noun	product 	producto alimenticio	foodstuff
propósito 	masculine noun	purpose, intention	no sentence available	no sentence available
proyecto 	masculine noun	plan, project	no sentence available	no sentence available
público 	adjective	public 	hacer público	to make public
puesto 	adjective	dressed 	bien puesto	well-dressed
recuerdo 	masculine noun	memory	no sentence available	no sentence available
recurso 	masculine noun	recourse 	el último recurso	the last resort
respeto 	masculine noun	respect, consideration	presentar sus respetos	to pay one's respects
río 	masculine noun	river	un río de lágrimas	a flood of tears
ritmo 	masculine noun	rhythm	trabajó a ritmo lento	she worked at a slow pace
segundo 	adjective	second 	el segundo lugar	second place
sentimiento 	masculine noun	feeling, emotion	no sentence available	no sentence available
silencio 	masculine noun	silence, quiet 	¡silencio!	be quiet!
sitio 	masculine noun	place, site 	vámonos a otro sitio	let's go somewhere else
sol 	masculine noun	G 	sol sostenido/bemol	G sharp/flat
sueño 	masculine noun	dream	perder el sueño	to lose sleep
tamaño 	adjective	such a big 	¿crees tamaña mentira?	do you believe such a lie?
teatro 	masculine noun	theater	no sentence available	no sentence available
teléfono 	masculine noun	telephone 	contestar el teléfono	to answer the phone
término 	masculine noun	end, conclusion	en primer término	first of all
terreno 	masculine noun	terrain	no sentence available	no sentence available
texto 	masculine noun	text	no sentence available	no sentence available
título 	masculine noun	title	no sentence available	no sentence available
tono 	masculine noun	tone 	tono muscular	muscle tone
uso 	masculine noun	use 	hacer uso de	to make use of
verano 	masculine noun	summer	no sentence available	no sentence available
vino 	masculine noun	wine	no sentence available	no sentence available
autor 	noun	author	no sentence available	no sentence available
director 	noun	director, manager, head	no sentence available	no sentence available
doctor 	noun	doctor 	doctor en pedagogía	doctor of education
jefe 	noun	chief, head, leader 	jefe de bomberos/policía	fire/police chief
profesor 	noun	teacher (of older children)	no sentence available	no sentence available
capital 	masculine noun	capital 	capital de riesgo	venture capital
final 	masculine noun	end 	al final	at the end
mar 	masculine or feminine noun	sea 	un mar agitado	a rough sea
par 	masculine noun	pair, couple 	un par de zapatos	a pair of shoes
radio 	masculine noun	radius	no sentence available	no sentence available
cincuenta 	adjective & masculine noun	fifty	no sentence available	no sentence available
cuarenta 	adjective & masculine noun	forty	no sentence available	no sentence available
doce 	adjective & masculine noun	twelve	no sentence available	no sentence available
millón 	masculine noun	million	no sentence available	no sentence available
nueve 	adjective & masculine noun	nine 	tengo nueve años	I am nine years old
treinta 	adjective & masculine noun	thirty	no sentence available	no sentence available
veinte 	adjective & masculine noun	twenty	no sentence available	no sentence available
mediante 	preposition	through, by means of 	Dios mediante	God willing
tras 	preposition	after 	día tras día	day after day
aquello 	pronoun	that, that matter, that business 	aquello fue algo serio	that was something serious
mío 	adjective	my, of mine 	¡Dios mío!	my God!, good heavens!
suyo 	adjective	his, her, its, theirs 	los libros suyos	his books
tú 	adjective	your 	tu vestido	your dress
abandonar 	transitive verb	to abandon, to leave	abandonaron la búsqueda	they gave up the search
acompañar 	transitive verb	to accompany, to go with	no sentence available	no sentence available
acordar 	transitive verb	to agree on	no sentence available	no sentence available
actuar 	intransitive verb	to act, to perform	no sentence available	no sentence available
admitir 	transitive verb	to admit, to let in	la ley no admite cambios	the law doesn't allow for changes
adquirir 	transitive verb	to acquire, to gain	no sentence available	no sentence available
advertir 	transitive verb	to warn	no advertí que estuviera enojada	I couldn't tell she was angry
afectar 	transitive verb	to affect	no sentence available	no sentence available
afirmar 	transitive verb	to state, to affirm	no sentence available	no sentence available
anunciar 	transitive verb	to announce	no sentence available	no sentence available
aplicar 	transitive verb	to apply	no sentence available	no sentence available
apoyar 	transitive verb	to support, to back	no sentence available	no sentence available
aprovechar 	transitive verb	to take advantage of (an opportunity, etc.), to make good use of (time, etc.)	no sentence available	no sentence available
asegurar 	transitive verb	to assure	no sentence available	no sentence available
asistir 	intransitive verb	to attend, to be present 	asistir a clase	to attend class
atender 	transitive verb	to help, to wait on	no sentence available	no sentence available
atravesar 	transitive verb	to cross, to go across	no sentence available	no sentence available
aumentar 	transitive verb	to increase, to raise	no sentence available	no sentence available
avanzar 	intransitive verb	to advance, to move forward, to make progress	no sentence available	no sentence available
bajar 	transitive verb	to lower (a blind, zipper, etc.), to let down (a hem)	no sentence available	no sentence available
bastar 	intransitive verb	to be enough, to suffice 	con uno basta (y sobra)	one is (more than) enough
caber 	intransitive verb	to fit, to go 	¿cabremos todos?	will we all fit?
caminar 	intransitive verb	to walk 	prefiero ir caminando	I prefer to walk
cargar 	transitive verb	to carry	cargado de deudas	burdened with debts
coincidir 	intransitive verb	to coincide	no sentence available	no sentence available
colocar 	transitive verb	to place, to put	no sentence available	no sentence available
comentar 	transitive verb	to comment on, to discuss	no sentence available	no sentence available
compartir 	transitive verb	to share	no sentence available	no sentence available
comprobar 	transitive verb	to verify, to check	no sentence available	no sentence available
comunicar 	transitive verb	to communicate, to convey	no sentence available	no sentence available
conducir 	transitive verb	to direct, to lead	no sentence available	no sentence available
conservar 	transitive verb	to preserve	no sentence available	no sentence available
consistir 	intransitive verb	to consist of	no sentence available	no sentence available
constituir 	transitive verb	to constitute, to make up, to form	no sentence available	no sentence available
construir 	transitive verb	to build, to construct	no sentence available	no sentence available
contemplar 	transitive verb	to contemplate, to ponder	no sentence available	no sentence available
contener 	transitive verb	to contain, to hold	no sentence available	no sentence available
contestar 	transitive verb	to answer	no sentence available	no sentence available
convenir 	intransitive verb	to be suitable, to be advisable	no sentence available	no sentence available
corresponder 	intransitive verb	to correspond 	corresponder a/con	to correspond to/with, to match, to fit
cortar 	transitive verb	to cut 	lo cortó en dos	he cut it in half
costar 	verb	to cost 	¿cuánto cuesta?	how much does it cost?
crecer 	intransitive verb	to grow	no sentence available	no sentence available
cruzar 	transitive verb	to cross 	cruzar la calle	to cross the street
cubrir 	transitive verb	to cover 	cubierto de algo	covered in/with something
cuidar 	transitive verb	to take care of, to look after	no sentence available	no sentence available
defender 	transitive verb	to defend, to protect	no sentence available	no sentence available
definir 	transitive verb	to define	no sentence available	no sentence available
demostrar 	transitive verb	to demonstrate, to prove	no sentence available	no sentence available
depender 	intransitive verb	to depend	no sentence available	no sentence available
desaparecer 	transitive verb	to cause to disappear	no sentence available	no sentence available
desear 	transitive verb	to wish 	te deseo buena suerte	I wish you good luck
despertar 	intransitive verb	to awaken, to wake up	no sentence available	no sentence available
destacar 	transitive verb	to emphasize, to highlight, to stress 	cabe destacar …	it's worth mentioning …
discutir 	transitive verb	to discuss	no sentence available	no sentence available
disponer 	transitive verb	to arrange, to lay out	no sentence available	no sentence available
distinguir 	transitive verb	to distinguish	no sentence available	no sentence available
dominar 	transitive verb	to dominate	no sentence available	no sentence available
dormir 	intransitive verb	to sleep	no sentence available	no sentence available
durar 	verb	to last	no sentence available	no sentence available
emplear 	transitive verb	to employ	no sentence available	no sentence available
enfrentar 	transitive verb	to confront, to face	no sentence available	no sentence available
enseñar 	transitive verb	to teach	no sentence available	no sentence available
entregar 	transitive verb	to deliver	no sentence available	no sentence available
enviar 	transitive verb	to send	no sentence available	no sentence available
escapar 	intransitive verb	to escape, to flee, to run away	no sentence available	no sentence available
establecer 	transitive verb	to establish, to found (a city, etc.), to set up (a system, etc.)	no sentence available	no sentence available
exigir 	transitive verb	to demand, to require	no sentence available	no sentence available
exponer 	transitive verb	to exhibit, to show, to display	no sentence available	no sentence available
expresar 	transitive verb	to express	no sentence available	no sentence available
extender 	transitive verb	to spread out, to stretch out	extender la influencia	to broaden one's influence
faltar 	intransitive verb	to be lacking, to be needed 	me falta tiempo	I don't have time
firmar 	verb	to sign	no sentence available	no sentence available
funcionar 	intransitive verb	to function	no sentence available	no sentence available
guardar 	transitive verb	to guard	no sentence available	no sentence available
identificar 	transitive verb	to identify	no sentence available	no sentence available
impedir 	transitive verb	to prevent, to block	no sentence available	no sentence available
imponer 	transitive verb	to impose	no sentence available	no sentence available
incluir 	transitive verb	to include	no sentence available	no sentence available
informar 	transitive verb	to inform	no sentence available	no sentence available
iniciar 	transitive verb	to initiate, to begin 	iniciar (la) sesión	to log in/on
insistir 	verb	to insist	no sentence available	no sentence available
instalar 	transitive verb	to install (a device, etc.)	no sentence available	no sentence available
interpretar 	transitive verb	to interpret	no sentence available	no sentence available
intervenir 	intransitive verb	to take part	no sentence available	no sentence available
introducir 	transitive verb	to introduce	no sentence available	no sentence available
invitar 	transitive verb	to invite	no sentence available	no sentence available
lanzar 	transitive verb	to throw, to hurl	no sentence available	no sentence available
llenar 	transitive verb	to fill, to fill up, to fill in	los regalos no llenaron sus expectativas	the gifts did not meet her expectations
mandar 	transitive verb	to command, to order 	los mandó (a) callar, los mandó (a) que callaran	she ordered them to be quiet
manejar 	transitive verb	to drive (a car)	no sentence available	no sentence available
marcar 	transitive verb	to mark	no sentence available	no sentence available
matar 	transitive verb	to kill	no sentence available	no sentence available
medir 	transitive verb	to measure	medir los riesgos	to weigh the risks
mejorar 	transitive verb	to improve, to make better	no sentence available	no sentence available
mencionar 	transitive verb	to mention, to refer to	no sentence available	no sentence available
merecer 	transitive verb	to deserve, to merit	no sentence available	no sentence available
meter 	transitive verb	to put 	lo metió en un cajón	he put it in a drawer
montar 	transitive verb	to mount, to get on	no sentence available	no sentence available
negar 	transitive verb	to deny	no sentence available	no sentence available
notar 	transitive verb	to notice 	hacer notar algo	to point out something
obligar 	transitive verb	to force, to require, to oblige	no sentence available	no sentence available
organizar 	transitive verb	to organize, to arrange	no sentence available	no sentence available
participar 	intransitive verb	to participate, to take part 	participar en algo	to participate in something
permanecer 	intransitive verb	to remain, to stay	no sentence available	no sentence available
pertenecer 	intransitive verb	to belong 	pertenecer a	to belong to
pesar 	transitive verb	to weigh 	pesa dos kilos	it weighs two kilos
plantear 	transitive verb	to set forth (an argument, etc.), to bring up (a topic, possibility, etc.), to suggest (an idea, etc.) 	no lo plantearía así	I wouldn't describe/explain it like that
preferir 	transitive verb	to prefer 	prefiero ir	I'd rather go
preocupar	transitive verb	to worry, to concern 	eso me preocupa	that worries me
prestar 	transitive verb	to lend, to loan 	¿me prestas el paraguas?	can I borrow your umbrella?
pretender 	transitive verb	to attempt, to try 	pretendo estudiar	I'm trying to study
probar 	transitive verb	to demonstrate, to prove	no sentence available	no sentence available
pronunciar 	transitive verb	to pronounce, to say	no sentence available	no sentence available
provocar 	transitive verb	to provoke, to cause	¿qué te provoca comer?	what would you like to eat?
